model,id,name,type,seats,range,era,vintage,source,card,hero
"A380-800","CTD-555","CloudCitadel 555","jumbo","555","8200","2007","false","assets/aircraft-cards/source/a380-800.svg","assets/aircraft-cards/cards/a380-800.webp","game/assets/aircraft-heroes/a380-800.webp"
"B777-300ER","TTN-396","Titan 396","jumbo","396","7370","2004","false","assets/aircraft-cards/source/b777-300er.svg","assets/aircraft-cards/cards/b777-300er.webp","game/assets/aircraft-heroes/b777-300er.webp"
"B777X","TTX-426","Titan X 426","jumbo","426","8200","2025","false","assets/aircraft-cards/source/b777x.svg","assets/aircraft-cards/cards/b777x.webp","game/assets/aircraft-heroes/b777x.webp"
"Overture","CMT-080","Comet 80","supersonic","80","4250","2029","false","assets/aircraft-cards/source/overture.svg","assets/aircraft-cards/cards/overture.webp","game/assets/aircraft-heroes/overture.webp"
"B707-320B","JTA-147","JetAge 147","long","147","3735","1962","true","assets/aircraft-cards/source/b707-320b.svg","assets/aircraft-cards/cards/b707-320b.webp","game/assets/aircraft-heroes/b707-320b.webp"
"DC-8-63","SLV-220","Silverline 220","long","220","4500","1967","true","assets/aircraft-cards/source/dc-8-63.svg","assets/aircraft-cards/cards/dc-8-63.webp","game/assets/aircraft-heroes/dc-8-63.webp"
"B727-200","TRJ-155","TriJet Runner 155","medium","155","2550","1967","true","assets/aircraft-cards/source/b727-200.svg","assets/aircraft-cards/cards/b727-200.webp","game/assets/aircraft-heroes/b727-200.webp"
"DC-9-30","PKJ-105","PocketJet 105","short","105","1635","1967","true","assets/aircraft-cards/source/dc-9-30.svg","assets/aircraft-cards/cards/dc-9-30.webp","game/assets/aircraft-heroes/dc-9-30.webp"
"B737-200","RMT-120","RetroMetro 120","short","120","2300","1968","true","assets/aircraft-cards/source/b737-200.svg","assets/aircraft-cards/cards/b737-200.webp","game/assets/aircraft-heroes/b737-200.webp"
"B747-100","CQN-366","ClassicQueen 366","jumbo","366","4620","1970","true","assets/aircraft-cards/source/b747-100.svg","assets/aircraft-cards/cards/b747-100.webp","game/assets/aircraft-heroes/b747-100.webp"
"B747-200","CQ2-380","ClassicQueen 380","jumbo","380","6560","1971","true","assets/aircraft-cards/source/b747-200.svg","assets/aircraft-cards/cards/b747-200.webp","game/assets/aircraft-heroes/b747-200.webp"
"DC-10-30","TOC-270","TriOcean 270","long","270","5790","1972","true","assets/aircraft-cards/source/dc-10-30.svg","assets/aircraft-cards/cards/dc-10-30.webp","game/assets/aircraft-heroes/dc-10-30.webp"
"L-1011","STL-256","Starlift 256","long","256","4250","1972","true","assets/aircraft-cards/source/l-1011.svg","assets/aircraft-cards/cards/l-1011.webp","game/assets/aircraft-heroes/l-1011.webp"
"A300B4","EUB-247","EuroBridge 247","long","247","3300","1974","true","assets/aircraft-cards/source/a300b4.svg","assets/aircraft-cards/cards/a300b4.webp","game/assets/aircraft-heroes/a300b4.webp"
"Concorde","MCH-100","Mach Crown 100","supersonic","100","4500","1976","true","assets/aircraft-cards/source/concorde.svg","assets/aircraft-cards/cards/concorde.webp","game/assets/aircraft-heroes/concorde.webp"
"MD-80","TTL-155","T-Tail 155","medium","155","2880","1980","true","assets/aircraft-cards/source/md-80.svg","assets/aircraft-cards/cards/md-80.webp","game/assets/aircraft-heroes/md-80.webp"
"B757-200","RKT-200","RocketRoute 200","medium","200","4488","1983","true","assets/aircraft-cards/source/b757-200.svg","assets/aircraft-cards/cards/b757-200.webp","game/assets/aircraft-heroes/b757-200.webp"
"B767-200ER","BRC-181","BridgeClassic 181","long","181","6385","1984","true","assets/aircraft-cards/source/b767-200er.svg","assets/aircraft-cards/cards/b767-200er.webp","game/assets/aircraft-heroes/b767-200er.webp"
