id,name,category,file,size,sourceKind
vanguard_air,Vanguard Air,ai-pool,logos/ai-pool/vanguard_air.png,512x512,completed-caption-safe-procedural-extra
velocitycrest,Velocitycrest,ai-pool,logos/ai-pool/velocitycrest.png,512x512,completed-caption-safe-procedural-extra
westwind_jet,Westwind Jet,ai-pool,logos/ai-pool/westwind_jet.png,512x512,completed-caption-safe-procedural-extra
aeronova,AeroNova,ai-rivals,logos/ai-rivals/aeronova.png,512x512,completed-caption-safe-procedural-extra
airglobe,AirGlobe,ai-rivals,logos/ai-rivals/airglobe.png,512x512,completed-caption-safe-procedural-extra
jetstar_intl,JetStar Intl,ai-rivals,logos/ai-rivals/jetstar_intl.png,512x512,completed-caption-safe-procedural-extra
panworld,PanWorld,ai-rivals,logos/ai-rivals/panworld.png,512x512,completed-caption-safe-procedural-extra
skyrush,SkyRush,ai-rivals,logos/ai-rivals/skyrush.png,512x512,completed-caption-safe-procedural-extra
transocean,TransOcean,ai-rivals,logos/ai-rivals/transocean.png,512x512,completed-caption-safe-procedural-extra
apex_air,APEX AIR,dice-names,logos/dice-names/apex_air.png,512x512,completed-caption-safe-procedural-extra
atlas_air,ATLAS AIR,dice-names,logos/dice-names/atlas_air.png,512x512,completed-caption-safe-procedural-extra
aurora,AURORA,dice-names,logos/dice-names/aurora.png,512x512,completed-caption-safe-procedural-extra
cirrus,CIRRUS,dice-names,logos/dice-names/cirrus.png,512x512,completed-caption-safe-procedural-extra
equinox,EQUINOX,dice-names,logos/dice-names/equinox.png,512x512,completed-caption-safe-procedural-extra
horizon,HORIZON,dice-names,logos/dice-names/horizon.png,512x512,completed-caption-safe-procedural-extra
meridian,MERIDIAN,dice-names,logos/dice-names/meridian.png,512x512,completed-caption-safe-procedural-extra
nimbus,NIMBUS,dice-names,logos/dice-names/nimbus.png,512x512,completed-caption-safe-procedural-extra
nova_wings,NOVA WINGS,dice-names,logos/dice-names/nova_wings.png,512x512,completed-caption-safe-procedural-extra
pacific_jet,PACIFIC JET,dice-names,logos/dice-names/pacific_jet.png,512x512,completed-caption-safe-procedural-extra
paisley_air,PAISLEY AIR,dice-names,logos/dice-names/paisley_air.png,512x512,completed-caption-safe-procedural-extra
polaris,POLARIS,dice-names,logos/dice-names/polaris.png,512x512,completed-caption-safe-procedural-extra
skyline,SKYLINE,dice-names,logos/dice-names/skyline.png,512x512,completed-caption-safe-procedural-extra
solstice,SOLSTICE,dice-names,logos/dice-names/solstice.png,512x512,completed-caption-safe-procedural-extra
stratus,STRATUS,dice-names,logos/dice-names/stratus.png,512x512,completed-caption-safe-procedural-extra
vantage,VANTAGE,dice-names,logos/dice-names/vantage.png,512x512,completed-caption-safe-procedural-extra
velocity,VELOCITY,dice-names,logos/dice-names/velocity.png,512x512,completed-caption-safe-procedural-extra
zephyr,ZEPHYR,dice-names,logos/dice-names/zephyr.png,512x512,completed-caption-safe-procedural-extra
