id,name,group,groupLabel,groupNumber,order,image,card,sourceMark,sourceKind,region,regionCode,regionMotif,presentationLogo
noble_air,Noble Air,classic-prestige,Classic / Prestige,1,11,/assets/airline-identities/approved-250/runtime-logos/classic-prestige/noble_air.png,/assets/airline-identities/approved-250/cards/classic-prestige/noble_air.webp,/assets/airline-identities/approved-250/source-marks/classic-prestige/noble_air.png,completed-procedural,Global,GLB,category-led,/assets/airline-identities/approved-250/logos/classic-prestige/noble_air.webp
grand_airways,Grand Airways,classic-prestige,Classic / Prestige,1,12,/assets/airline-identities/approved-250/runtime-logos/classic-prestige/grand_airways.png,/assets/airline-identities/approved-250/cards/classic-prestige/grand_airways.webp,/assets/airline-identities/approved-250/source-marks/classic-prestige/grand_airways.png,completed-procedural,Global,GLB,category-led,/assets/airline-identities/approved-250/logos/classic-prestige/grand_airways.webp
regal_airlines,Regal Airlines,classic-prestige,Classic / Prestige,1,13,/assets/airline-identities/approved-250/runtime-logos/classic-prestige/regal_airlines.png,/assets/airline-identities/approved-250/cards/classic-prestige/regal_airlines.webp,/assets/airline-identities/approved-250/source-marks/classic-prestige/regal_airlines.png,completed-procedural,Global,GLB,category-led,/assets/airline-identities/approved-250/logos/classic-prestige/regal_airlines.webp
crest_air,Crest Air,classic-prestige,Classic / Prestige,1,14,/assets/airline-identities/approved-250/runtime-logos/classic-prestige/crest_air.png,/assets/airline-identities/approved-250/cards/classic-prestige/crest_air.webp,/assets/airline-identities/approved-250/source-marks/classic-prestige/crest_air.png,completed-procedural,Global,GLB,category-led,/assets/airline-identities/approved-250/logos/classic-prestige/crest_air.webp
vanguard_airlines,Vanguard Airlines,classic-prestige,Classic / Prestige,1,15,/assets/airline-identities/approved-250/runtime-logos/classic-prestige/vanguard_airlines.png,/assets/airline-identities/approved-250/cards/classic-prestige/vanguard_airlines.webp,/assets/airline-identities/approved-250/source-marks/classic-prestige/vanguard_airlines.png,completed-procedural,Global,GLB,category-led,/assets/airline-identities/approved-250/logos/classic-prestige/vanguard_airlines.webp
heritage_air,Heritage Air,classic-prestige,Classic / Prestige,1,16,/assets/airline-identities/approved-250/runtime-logos/classic-prestige/heritage_air.png,/assets/airline-identities/approved-250/cards/classic-prestige/heritage_air.webp,/assets/airline-identities/approved-250/source-marks/classic-prestige/heritage_air.png,completed-procedural,Global,GLB,category-led,/assets/airline-identities/approved-250/logos/classic-prestige/heritage_air.webp
legacy_airlines,Legacy Airlines,classic-prestige,Classic / Prestige,1,17,/assets/airline-identities/approved-250/runtime-logos/classic-prestige/legacy_airlines.png,/assets/airline-identities/approved-250/cards/classic-prestige/legacy_airlines.webp,/assets/airline-identities/approved-250/source-marks/classic-prestige/legacy_airlines.png,completed-procedural,Global,GLB,category-led,/assets/airline-identities/approved-250/logos/classic-prestige/legacy_airlines.webp
premier_airways,Premier Airways,classic-prestige,Classic / Prestige,1,18,/assets/airline-identities/approved-250/runtime-logos/classic-prestige/premier_airways.png,/assets/airline-identities/approved-250/cards/classic-prestige/premier_airways.webp,/assets/airline-identities/approved-250/source-marks/classic-prestige/premier_airways.png,completed-procedural,Global,GLB,category-led,/assets/airline-identities/approved-250/logos/classic-prestige/premier_airways.webp
distinction_air,Distinction Air,classic-prestige,Classic / Prestige,1,19,/assets/airline-identities/approved-250/runtime-logos/classic-prestige/distinction_air.png,/assets/airline-identities/approved-250/cards/classic-prestige/distinction_air.webp,/assets/airline-identities/approved-250/source-marks/classic-prestige/distinction_air.png,completed-procedural,Global,GLB,category-led,/assets/airline-identities/approved-250/logos/classic-prestige/distinction_air.webp
dominion_airlines,Dominion Airlines,classic-prestige,Classic / Prestige,1,20,/assets/airline-identities/approved-250/runtime-logos/classic-prestige/dominion_airlines.png,/assets/airline-identities/approved-250/cards/classic-prestige/dominion_airlines.webp,/assets/airline-identities/approved-250/source-marks/classic-prestige/dominion_airlines.png,completed-procedural,Global,GLB,category-led,/assets/airline-identities/approved-250/logos/classic-prestige/dominion_airlines.webp
prestige_global_air,Prestige Global Air,classic-prestige,Classic / Prestige,1,21,/assets/airline-identities/approved-250/runtime-logos/classic-prestige/prestige_global_air.png,/assets/airline-identities/approved-250/cards/classic-prestige/prestige_global_air.webp,/assets/airline-identities/approved-250/source-marks/classic-prestige/prestige_global_air.png,completed-procedural,Global,GLB,category-led,/assets/airline-identities/approved-250/logos/classic-prestige/prestige_global_air.webp
laurel_airways,Laurel Airways,classic-prestige,Classic / Prestige,1,22,/assets/airline-identities/approved-250/runtime-logos/classic-prestige/laurel_airways.png,/assets/airline-identities/approved-250/cards/classic-prestige/laurel_airways.webp,/assets/airline-identities/approved-250/source-marks/classic-prestige/laurel_airways.png,completed-procedural,Global,GLB,category-led,/assets/airline-identities/approved-250/logos/classic-prestige/laurel_airways.webp
emblem_airlines,Emblem Airlines,classic-prestige,Classic / Prestige,1,23,/assets/airline-identities/approved-250/runtime-logos/classic-prestige/emblem_airlines.png,/assets/airline-identities/approved-250/cards/classic-prestige/emblem_airlines.webp,/assets/airline-identities/approved-250/source-marks/classic-prestige/emblem_airlines.png,completed-procedural,Global,GLB,category-led,/assets/airline-identities/approved-250/logos/classic-prestige/emblem_airlines.webp
crestline_air,Crestline Air,classic-prestige,Classic / Prestige,1,24,/assets/airline-identities/approved-250/runtime-logos/classic-prestige/crestline_air.png,/assets/airline-identities/approved-250/cards/classic-prestige/crestline_air.webp,/assets/airline-identities/approved-250/source-marks/classic-prestige/crestline_air.png,completed-procedural,Global,GLB,category-led,/assets/airline-identities/approved-250/logos/classic-prestige/crestline_air.webp
sovereign_sky,Sovereign Sky,classic-prestige,Classic / Prestige,1,25,/assets/airline-identities/approved-250/runtime-logos/classic-prestige/sovereign_sky.png,/assets/airline-identities/approved-250/cards/classic-prestige/sovereign_sky.webp,/assets/airline-identities/approved-250/source-marks/classic-prestige/sovereign_sky.png,completed-procedural,Global,GLB,category-led,/assets/airline-identities/approved-250/logos/classic-prestige/sovereign_sky.webp
pacific_rim_air,Pacific Rim Air,geographic-regional,Geographic / Regional,2,1,/assets/airline-identities/approved-250/runtime-logos/geographic-regional/pacific_rim_air.png,/assets/airline-identities/approved-250/cards/geographic-regional/pacific_rim_air.webp,/assets/airline-identities/approved-250/source-marks/geographic-regional/pacific_rim_air.png,completed-regional-procedural,Pacific Rim,PAC,wave-sun,/assets/airline-identities/approved-250/logos/geographic-regional/pacific_rim_air.webp
atlantic_span,Atlantic Span,geographic-regional,Geographic / Regional,2,2,/assets/airline-identities/approved-250/runtime-logos/geographic-regional/atlantic_span.png,/assets/airline-identities/approved-250/cards/geographic-regional/atlantic_span.webp,/assets/airline-identities/approved-250/source-marks/geographic-regional/atlantic_span.png,completed-regional-procedural,North Atlantic,ATL,bridge-wave,/assets/airline-identities/approved-250/logos/geographic-regional/atlantic_span.webp
sahara_wings,Sahara Wings,geographic-regional,Geographic / Regional,2,3,/assets/airline-identities/approved-250/runtime-logos/geographic-regional/sahara_wings.png,/assets/airline-identities/approved-250/cards/geographic-regional/sahara_wings.webp,/assets/airline-identities/approved-250/source-marks/geographic-regional/sahara_wings.png,completed-regional-procedural,Sahara,SAH,dunes-sun,/assets/airline-identities/approved-250/logos/geographic-regional/sahara_wings.webp
nordic_sky,Nordic Sky,geographic-regional,Geographic / Regional,2,4,/assets/airline-identities/approved-250/runtime-logos/geographic-regional/nordic_sky.png,/assets/airline-identities/approved-250/cards/geographic-regional/nordic_sky.webp,/assets/airline-identities/approved-250/source-marks/geographic-regional/nordic_sky.png,completed-regional-procedural,Nordic,NOR,aurora-star,/assets/airline-identities/approved-250/logos/geographic-regional/nordic_sky.webp
adriatic_air,Adriatic Air,geographic-regional,Geographic / Regional,2,5,/assets/airline-identities/approved-250/runtime-logos/geographic-regional/adriatic_air.png,/assets/airline-identities/approved-250/cards/geographic-regional/adriatic_air.webp,/assets/airline-identities/approved-250/source-marks/geographic-regional/adriatic_air.png,completed-regional-procedural,Adriatic,ADR,sail-wave,/assets/airline-identities/approved-250/logos/geographic-regional/adriatic_air.webp
andean_airways,Andean Airways,geographic-regional,Geographic / Regional,2,6,/assets/airline-identities/approved-250/runtime-logos/geographic-regional/andean_airways.png,/assets/airline-identities/approved-250/cards/geographic-regional/andean_airways.webp,/assets/airline-identities/approved-250/source-marks/geographic-regional/andean_airways.png,completed-regional-procedural,Andes,AND,peaks-condor,/assets/airline-identities/approved-250/logos/geographic-regional/andean_airways.webp
cascadia_airlines,Cascadia Airlines,geographic-regional,Geographic / Regional,2,7,/assets/airline-identities/approved-250/runtime-logos/geographic-regional/cascadia_airlines.png,/assets/airline-identities/approved-250/cards/geographic-regional/cascadia_airlines.webp,/assets/airline-identities/approved-250/source-marks/geographic-regional/cascadia_airlines.png,completed-regional-procedural,Cascadia,CSC,evergreen-peak,/assets/airline-identities/approved-250/logos/geographic-regional/cascadia_airlines.webp
levant_air,Levant Air,geographic-regional,Geographic / Regional,2,8,/assets/airline-identities/approved-250/runtime-logos/geographic-regional/levant_air.png,/assets/airline-identities/approved-250/cards/geographic-regional/levant_air.webp,/assets/airline-identities/approved-250/source-marks/geographic-regional/levant_air.png,completed-regional-procedural,Levant,LEV,cedar-sun,/assets/airline-identities/approved-250/logos/geographic-regional/levant_air.webp
iberian_wings,Iberian Wings,geographic-regional,Geographic / Regional,2,9,/assets/airline-identities/approved-250/runtime-logos/geographic-regional/iberian_wings.png,/assets/airline-identities/approved-250/cards/geographic-regional/iberian_wings.webp,/assets/airline-identities/approved-250/source-marks/geographic-regional/iberian_wings.png,completed-regional-procedural,Iberia,IBR,sun-fan,/assets/airline-identities/approved-250/logos/geographic-regional/iberian_wings.webp
baltic_air,Baltic Air,geographic-regional,Geographic / Regional,2,10,/assets/airline-identities/approved-250/runtime-logos/geographic-regional/baltic_air.png,/assets/airline-identities/approved-250/cards/geographic-regional/baltic_air.webp,/assets/airline-identities/approved-250/source-marks/geographic-regional/baltic_air.png,completed-regional-procedural,Baltic,BAL,amber-pine,/assets/airline-identities/approved-250/logos/geographic-regional/baltic_air.webp
monsoon_airways,Monsoon Airways,geographic-regional,Geographic / Regional,2,11,/assets/airline-identities/approved-250/runtime-logos/geographic-regional/monsoon_airways.png,/assets/airline-identities/approved-250/cards/geographic-regional/monsoon_airways.webp,/assets/airline-identities/approved-250/source-marks/geographic-regional/monsoon_airways.png,completed-regional-procedural,Monsoon Asia,MON,rain-cloud,/assets/airline-identities/approved-250/logos/geographic-regional/monsoon_airways.webp
steppe_airlines,Steppe Airlines,geographic-regional,Geographic / Regional,2,12,/assets/airline-identities/approved-250/runtime-logos/geographic-regional/steppe_airlines.png,/assets/airline-identities/approved-250/cards/geographic-regional/steppe_airlines.webp,/assets/airline-identities/approved-250/source-marks/geographic-regional/steppe_airlines.png,completed-regional-procedural,Eurasian Steppe,STP,wind-horizon,/assets/airline-identities/approved-250/logos/geographic-regional/steppe_airlines.webp
caspian_air,Caspian Air,geographic-regional,Geographic / Regional,2,13,/assets/airline-identities/approved-250/runtime-logos/geographic-regional/caspian_air.png,/assets/airline-identities/approved-250/cards/geographic-regional/caspian_air.webp,/assets/airline-identities/approved-250/source-marks/geographic-regional/caspian_air.png,completed-regional-procedural,Caspian,CSP,sea-star,/assets/airline-identities/approved-250/logos/geographic-regional/caspian_air.webp
patagonia_airways,Patagonia Airways,geographic-regional,Geographic / Regional,2,14,/assets/airline-identities/approved-250/runtime-logos/geographic-regional/patagonia_airways.png,/assets/airline-identities/approved-250/cards/geographic-regional/patagonia_airways.webp,/assets/airline-identities/approved-250/source-marks/geographic-regional/patagonia_airways.png,completed-regional-procedural,Patagonia,PAT,peaks-wind,/assets/airline-identities/approved-250/logos/geographic-regional/patagonia_airways.webp
tundra_airlines,Tundra Airlines,geographic-regional,Geographic / Regional,2,15,/assets/airline-identities/approved-250/runtime-logos/geographic-regional/tundra_airlines.png,/assets/airline-identities/approved-250/cards/geographic-regional/tundra_airlines.webp,/assets/airline-identities/approved-250/source-marks/geographic-regional/tundra_airlines.png,completed-regional-procedural,Tundra,TUN,snow-horizon,/assets/airline-identities/approved-250/logos/geographic-regional/tundra_airlines.webp
coral_sea_air,Coral Sea Air,geographic-regional,Geographic / Regional,2,16,/assets/airline-identities/approved-250/runtime-logos/geographic-regional/coral_sea_air.png,/assets/airline-identities/approved-250/cards/geographic-regional/coral_sea_air.webp,/assets/airline-identities/approved-250/source-marks/geographic-regional/coral_sea_air.png,completed-regional-procedural,Coral Sea,COR,coral-wave,/assets/airline-identities/approved-250/logos/geographic-regional/coral_sea_air.webp
savanna_wings,Savanna Wings,geographic-regional,Geographic / Regional,2,17,/assets/airline-identities/approved-250/runtime-logos/geographic-regional/savanna_wings.png,/assets/airline-identities/approved-250/cards/geographic-regional/savanna_wings.webp,/assets/airline-identities/approved-250/source-marks/geographic-regional/savanna_wings.png,completed-regional-procedural,Savanna,SAV,acacia-sun,/assets/airline-identities/approved-250/logos/geographic-regional/savanna_wings.webp
arctic_circle_airlines,Arctic Circle Airlines,geographic-regional,Geographic / Regional,2,18,/assets/airline-identities/approved-250/runtime-logos/geographic-regional/arctic_circle_airlines.png,/assets/airline-identities/approved-250/cards/geographic-regional/arctic_circle_airlines.webp,/assets/airline-identities/approved-250/source-marks/geographic-regional/arctic_circle_airlines.png,completed-regional-procedural,Arctic Circle,ARC,polar-star,/assets/airline-identities/approved-250/logos/geographic-regional/arctic_circle_airlines.webp
aegean_span,Aegean Span,geographic-regional,Geographic / Regional,2,19,/assets/airline-identities/approved-250/runtime-logos/geographic-regional/aegean_span.png,/assets/airline-identities/approved-250/cards/geographic-regional/aegean_span.webp,/assets/airline-identities/approved-250/source-marks/geographic-regional/aegean_span.png,completed-regional-procedural,Aegean,AEG,column-wave,/assets/airline-identities/approved-250/logos/geographic-regional/aegean_span.webp
tropic_air,Tropic Air,geographic-regional,Geographic / Regional,2,20,/assets/airline-identities/approved-250/runtime-logos/geographic-regional/tropic_air.png,/assets/airline-identities/approved-250/cards/geographic-regional/tropic_air.webp,/assets/airline-identities/approved-250/source-marks/geographic-regional/tropic_air.png,completed-regional-procedural,Tropics,TRO,palm-sun,/assets/airline-identities/approved-250/logos/geographic-regional/tropic_air.webp
boreal_airways,Boreal Airways,geographic-regional,Geographic / Regional,2,21,/assets/airline-identities/approved-250/runtime-logos/geographic-regional/boreal_airways.png,/assets/airline-identities/approved-250/cards/geographic-regional/boreal_airways.webp,/assets/airline-identities/approved-250/source-marks/geographic-regional/boreal_airways.png,completed-regional-procedural,Boreal,BOR,aurora-pine,/assets/airline-identities/approved-250/logos/geographic-regional/boreal_airways.webp
outback_airlines,Outback Airlines,geographic-regional,Geographic / Regional,2,22,/assets/airline-identities/approved-250/runtime-logos/geographic-regional/outback_airlines.png,/assets/airline-identities/approved-250/cards/geographic-regional/outback_airlines.webp,/assets/airline-identities/approved-250/source-marks/geographic-regional/outback_airlines.png,completed-regional-procedural,Australian Outback,OUT,mesa-sun,/assets/airline-identities/approved-250/logos/geographic-regional/outback_airlines.webp
pampa_air,Pampa Air,geographic-regional,Geographic / Regional,2,23,/assets/airline-identities/approved-250/runtime-logos/geographic-regional/pampa_air.png,/assets/airline-identities/approved-250/cards/geographic-regional/pampa_air.webp,/assets/airline-identities/approved-250/source-marks/geographic-regional/pampa_air.png,completed-regional-procedural,Pampas,PAM,grass-horizon,/assets/airline-identities/approved-250/logos/geographic-regional/pampa_air.webp
fjord_airlines,Fjord Airlines,geographic-regional,Geographic / Regional,2,24,/assets/airline-identities/approved-250/runtime-logos/geographic-regional/fjord_airlines.png,/assets/airline-identities/approved-250/cards/geographic-regional/fjord_airlines.webp,/assets/airline-identities/approved-250/source-marks/geographic-regional/fjord_airlines.png,completed-regional-procedural,Fjords,FJR,fjord-cliffs,/assets/airline-identities/approved-250/logos/geographic-regional/fjord_airlines.webp
taiga_airways,Taiga Airways,geographic-regional,Geographic / Regional,2,25,/assets/airline-identities/approved-250/runtime-logos/geographic-regional/taiga_airways.png,/assets/airline-identities/approved-250/cards/geographic-regional/taiga_airways.webp,/assets/airline-identities/approved-250/source-marks/geographic-regional/taiga_airways.png,completed-regional-procedural,Taiga,TAI,taiga-pines,/assets/airline-identities/approved-250/logos/geographic-regional/taiga_airways.webp
velocity_airlines,Velocity Airlines,speed-motion,Speed / Motion,3,1,/assets/airline-identities/approved-250/runtime-logos/speed-motion/velocity_airlines.png,/assets/airline-identities/approved-250/cards/speed-motion/velocity_airlines.webp,/assets/airline-identities/approved-250/source-marks/speed-motion/velocity_airlines.png,reused-existing,Global,GLB,category-led,/assets/airline-identities/approved-250/logos/speed-motion/velocity_airlines.webp
surge_air,Surge Air,speed-motion,Speed / Motion,3,2,/assets/airline-identities/approved-250/runtime-logos/speed-motion/surge_air.png,/assets/airline-identities/approved-250/cards/speed-motion/surge_air.webp,/assets/airline-identities/approved-250/source-marks/speed-motion/surge_air.png,reused-existing,Global,GLB,category-led,/assets/airline-identities/approved-250/logos/speed-motion/surge_air.webp
propel_airways,Propel Airways,speed-motion,Speed / Motion,3,3,/assets/airline-identities/approved-250/runtime-logos/speed-motion/propel_airways.png,/assets/airline-identities/approved-250/cards/speed-motion/propel_airways.webp,/assets/airline-identities/approved-250/source-marks/speed-motion/propel_airways.png,reused-existing,Global,GLB,category-led,/assets/airline-identities/approved-250/logos/speed-motion/propel_airways.webp
thrust_airlines,Thrust Airlines,speed-motion,Speed / Motion,3,4,/assets/airline-identities/approved-250/runtime-logos/speed-motion/thrust_airlines.png,/assets/airline-identities/approved-250/cards/speed-motion/thrust_airlines.webp,/assets/airline-identities/approved-250/source-marks/speed-motion/thrust_airlines.png,reused-existing,Global,GLB,category-led,/assets/airline-identities/approved-250/logos/speed-motion/thrust_airlines.webp
momentum_air,Momentum Air,speed-motion,Speed / Motion,3,5,/assets/airline-identities/approved-250/runtime-logos/speed-motion/momentum_air.png,/assets/airline-identities/approved-250/cards/speed-motion/momentum_air.webp,/assets/airline-identities/approved-250/source-marks/speed-motion/momentum_air.png,reused-existing,Global,GLB,category-led,/assets/airline-identities/approved-250/logos/speed-motion/momentum_air.webp
blaze_airlines,Blaze Airlines,speed-motion,Speed / Motion,3,6,/assets/airline-identities/approved-250/runtime-logos/speed-motion/blaze_airlines.png,/assets/airline-identities/approved-250/cards/speed-motion/blaze_airlines.webp,/assets/airline-identities/approved-250/source-marks/speed-motion/blaze_airlines.png,reused-existing,Global,GLB,category-led,/assets/airline-identities/approved-250/logos/speed-motion/blaze_airlines.webp
swift_air,Swift Air,speed-motion,Speed / Motion,3,7,/assets/airline-identities/approved-250/runtime-logos/speed-motion/swift_air.png,/assets/airline-identities/approved-250/cards/speed-motion/swift_air.webp,/assets/airline-identities/approved-250/source-marks/speed-motion/swift_air.png,reused-existing,Global,GLB,category-led,/assets/airline-identities/approved-250/logos/speed-motion/swift_air.webp
dash_airways,Dash Airways,speed-motion,Speed / Motion,3,8,/assets/airline-identities/approved-250/runtime-logos/speed-motion/dash_airways.png,/assets/airline-identities/approved-250/cards/speed-motion/dash_airways.webp,/assets/airline-identities/approved-250/source-marks/speed-motion/dash_airways.png,reused-existing,Global,GLB,category-led,/assets/airline-identities/approved-250/logos/speed-motion/dash_airways.webp
sprint_airlines,Sprint Airlines,speed-motion,Speed / Motion,3,9,/assets/airline-identities/approved-250/runtime-logos/speed-motion/sprint_airlines.png,/assets/airline-identities/approved-250/cards/speed-motion/sprint_airlines.webp,/assets/airline-identities/approved-250/source-marks/speed-motion/sprint_airlines.png,reused-existing,Global,GLB,category-led,/assets/airline-identities/approved-250/logos/speed-motion/sprint_airlines.webp
torque_air,Torque Air,speed-motion,Speed / Motion,3,10,/assets/airline-identities/approved-250/runtime-logos/speed-motion/torque_air.png,/assets/airline-identities/approved-250/cards/speed-motion/torque_air.webp,/assets/airline-identities/approved-250/source-marks/speed-motion/torque_air.png,reused-existing,Global,GLB,category-led,/assets/airline-identities/approved-250/logos/speed-motion/torque_air.webp
flux_airlines,Flux Airlines,speed-motion,Speed / Motion,3,11,/assets/airline-identities/approved-250/runtime-logos/speed-motion/flux_airlines.png,/assets/airline-identities/approved-250/cards/speed-motion/flux_airlines.webp,/assets/airline-identities/approved-250/source-marks/speed-motion/flux_airlines.png,reused-existing,Global,GLB,category-led,/assets/airline-identities/approved-250/logos/speed-motion/flux_airlines.webp
rapid_wings,Rapid Wings,speed-motion,Speed / Motion,3,12,/assets/airline-identities/approved-250/runtime-logos/speed-motion/rapid_wings.png,/assets/airline-identities/approved-250/cards/speed-motion/rapid_wings.webp,/assets/airline-identities/approved-250/source-marks/speed-motion/rapid_wings.png,reused-existing,Global,GLB,category-led,/assets/airline-identities/approved-250/logos/speed-motion/rapid_wings.webp
accelerate_air,Accelerate Air,speed-motion,Speed / Motion,3,13,/assets/airline-identities/approved-250/runtime-logos/speed-motion/accelerate_air.png,/assets/airline-identities/approved-250/cards/speed-motion/accelerate_air.webp,/assets/airline-identities/approved-250/source-marks/speed-motion/accelerate_air.png,completed-caption-safe-procedural,Global,GLB,category-led,/assets/airline-identities/approved-250/logos/speed-motion/accelerate_air.webp
kinetic_airlines,Kinetic Airlines,speed-motion,Speed / Motion,3,14,/assets/airline-identities/approved-250/runtime-logos/speed-motion/kinetic_airlines.png,/assets/airline-identities/approved-250/cards/speed-motion/kinetic_airlines.webp,/assets/airline-identities/approved-250/source-marks/speed-motion/kinetic_airlines.png,completed-caption-safe-procedural,Global,GLB,category-led,/assets/airline-identities/approved-250/logos/speed-motion/kinetic_airlines.webp
impulse_airways,Impulse Airways,speed-motion,Speed / Motion,3,15,/assets/airline-identities/approved-250/runtime-logos/speed-motion/impulse_airways.png,/assets/airline-identities/approved-250/cards/speed-motion/impulse_airways.webp,/assets/airline-identities/approved-250/source-marks/speed-motion/impulse_airways.png,completed-caption-safe-procedural,Global,GLB,category-led,/assets/airline-identities/approved-250/logos/speed-motion/impulse_airways.webp
bolt_air,Bolt Air,speed-motion,Speed / Motion,3,16,/assets/airline-identities/approved-250/runtime-logos/speed-motion/bolt_air.png,/assets/airline-identities/approved-250/cards/speed-motion/bolt_air.webp,/assets/airline-identities/approved-250/source-marks/speed-motion/bolt_air.png,completed-caption-safe-procedural,Global,GLB,category-led,/assets/airline-identities/approved-250/logos/speed-motion/bolt_air.webp
overdrive_airlines,Overdrive Airlines,speed-motion,Speed / Motion,3,17,/assets/airline-identities/approved-250/runtime-logos/speed-motion/overdrive_airlines.png,/assets/airline-identities/approved-250/cards/speed-motion/overdrive_airlines.webp,/assets/airline-identities/approved-250/source-marks/speed-motion/overdrive_airlines.png,completed-caption-safe-procedural,Global,GLB,category-led,/assets/airline-identities/approved-250/logos/speed-motion/overdrive_airlines.webp
mach_airways,Mach Airways,speed-motion,Speed / Motion,3,18,/assets/airline-identities/approved-250/runtime-logos/speed-motion/mach_airways.png,/assets/airline-identities/approved-250/cards/speed-motion/mach_airways.webp,/assets/airline-identities/approved-250/source-marks/speed-motion/mach_airways.png,completed-caption-safe-procedural,Global,GLB,category-led,/assets/airline-identities/approved-250/logos/speed-motion/mach_airways.webp
warp_airlines,Warp Airlines,speed-motion,Speed / Motion,3,19,/assets/airline-identities/approved-250/runtime-logos/speed-motion/warp_airlines.png,/assets/airline-identities/approved-250/cards/speed-motion/warp_airlines.webp,/assets/airline-identities/approved-250/source-marks/speed-motion/warp_airlines.png,completed-procedural,Global,GLB,category-led,/assets/airline-identities/approved-250/logos/speed-motion/warp_airlines.webp
